scenario,T,N,eta_hyd,pden,area,qhot,eta_e,fracC,V,V_membrane,V_stage,V_thermal,V_pto,V_housing
conservative,60/20,1,0.0174,4.75,3.3492823,914.31557,0.010937143,0.091092729,9.821037,6.0896042,0.018,3.0477186,0.48571429,0.18
conservative,60/20,4,0.021468032,6.2835834,2.53185,741.05959,0.013494191,0.11238975,7.8112767,4.6033637,0.072,2.4701986,0.48571429,0.18
conservative,60/20,8,0.023356263,6.9954167,2.2742163,681.14881,0.01468108,0.12227504,7.2151491,4.1349388,0.144,2.270496,0.48571429,0.18
conservative,60/20,16,0.02579307,7.9140541,2.0102328,616.79711,0.016212787,0.13503225,6.6646733,3.6549687,0.288,2.0559904,0.48571429,0.18
conservative,60/20,38,0.03,9.5,1.6746411,530.30303,0.018857143,0.15705643,6.1621931,3.0448021,0.684,1.7676768,0.48571429,0.18
conservative,80/40,1,0.0203,11,1.446281,783.69906,0.01276,0.11265485,5.9256463,2.6296018,0.018,2.6123302,0.48571429,0.18
conservative,80/40,4,0.025046037,14.551456,1.0932989,635.19394,0.015743223,0.13899298,4.8428436,1.9878162,0.072,2.1173131,0.48571429,0.18
conservative,80/40,8,0.027248974,16.199912,0.98204796,583.84184,0.017127926,0.15121818,4.5413955,1.7855417,0.144,1.9461395,0.48571429,0.18
conservative,80/40,16,0.030091915,18.327283,0.86805506,528.68324,0.018914918,0.16699508,4.2942737,1.5782819,0.288,1.7622775,0.48571429,0.18
conservative,80/40,38,0.035,22,0.7231405,454.54545,0.022,0.1942325,4.1796667,1.3148009,0.684,1.5151515,0.48571429,0.18
optimistic,60/20,1,0.02624,7.5,1.6842105,481.38639,0.020773333,0.1730159,2.7042683,1.5311005,0.008,0.80231065,0.26285714,0.1
optimistic,60/20,4,0.031005409,9.9214475,1.2731589,407.39921,0.024545948,0.20443707,2.231273,1.1574172,0.032,0.67899868,0.26285714,0.1
optimistic,60/20,8,0.033217337,11.045395,1.1436059,380.27067,0.026297058,0.21902163,2.1002833,1.0396417,0.064,0.63378445,0.26285714,0.1
optimistic,60/20,16,0.036071882,12.495875,1.0108599,350.17799,0.028556906,0.23784333,1.9934507,0.91896355,0.128,0.58362998,0.26285714,0.1
optimistic,60/20,38,0.041,15,0.84210526,308.08729,0.032458333,0.27033734,1.9458862,0.76555024,0.304,0.51347882,0.26285714,0.1
optimistic,80/40,1,0.030208,17.025,0.74194296,418.15343,0.023914667,0.21113661,1.7422731,0.6744936,0.008,0.69692239,0.26285714,0.1
optimistic,80/40,4,0.035694031,22.521686,0.56086294,353.88491,0.028257775,0.24948083,1.4945407,0.5098754,0.032,0.58980818,0.26285714,0.1
optimistic,80/40,8,0.038240446,25.073046,0.50379116,330.31986,0.030273687,0.26727881,1.4353822,0.45799196,0.064,0.5505331,0.26285714,0.1
optimistic,80/40,16,0.041526654,28.365636,0.44531273,304.18003,0.032875268,0.29024752,1.4026536,0.40482976,0.128,0.50696672,0.26285714,0.1
optimistic,80/40,38,0.0472,34.05,0.37097148,267.6182,0.037366667,0.32990096,1.4501343,0.3372468,0.304,0.44603033,0.26285714,0.1
